time,h2_top,h1_bot
4.86,122358.93,28532.26
4.87,122940.92,28679.79
4.88,123521.11,28829.83
4.89,124101.52,28978.32
4.9,124679.33,29132.76
4.91,125254.09,29284.38
4.92,125828.26,29434.97
4.93,126429.62,29587.62
4.94,127025.28,29739.81
4.95,127615.59,29892.51
4.96,128203.86,30046.24
4.97,128790.41,30200.95
4.98,129377.16,30357.04
4.99,129974.1,30510.45
5,130575.2,30665.69
5.01,131172.73,30819.04
5.02,131773.08,30977.05
5.03,132373.95,31134.3
5.04,132977.08,31291.81
5.05,133574.59,31449.39
5.06,134169.33,31605.23
5.07,134763.38,31770.32
5.08,135351.12,31928.01
5.09,135940.22,32087.65
5.1,136524.61,32247.69
5.11,137125.17,32406.06
5.12,137726.44,32566.16
5.13,138326.59,32726.99
5.14,138927.19,32888.88
5.15,139528.94,33053.5
5.16,140131.78,33215.16
5.17,140733.69,33375.9
5.18,141334.94,33539.98
5.19,141974.58,33701.57
5.2,142592.7,33867.87
5.21,143212.02,34031.82
5.22,143825.56,34195.74
5.23,144439.27,34360.88
5.24,145054.89,34522.96
5.25,145674.92,34691.33
5.26,146287,34859.15
5.27,146898.86,35024.53
5.28,147516.98,35191.96
5.29,148142.2,35358.99
5.3,148766.81,35526.7
5.31,149389.39,35703.8
5.32,150008.67,35872.8
5.33,150624.12,36039.25
5.34,151239.09,36210.86
5.35,151851.66,36377.64
5.36,152460.5,36551.79
5.37,153068.69,36723.92
5.38,153672.88,36894.85
5.39,154290.2,37067.78
5.4,154914.41,37237.48
5.41,155539.28,37408.93
5.42,156159.92,37584.92
5.43,156780.62,37757.57
5.44,157398.53,37931.74
5.45,158017.16,38105.63
5.46,158637.34,38281.76
5.47,159297.05,38455.84
5.48,159941.48,38631.25
5.49,160581.75,38807.59
5.5,161222.47,38985.78
5.51,161860.3,39162.97
5.52,162508.25,39339.04
5.53,163153.88,39517.05
5.54,163794.89,39697.45
5.55,164437.94,39876.43
5.56,165077.03,40060.73
5.57,165716.2,40241.03
5.58,166346.38,40421.62
5.59,166975.11,40600.64
5.6,167606.77,40781.4
5.61,168235.02,40961.59
5.62,168865.94,41145.09
5.63,169496.25,41327.19
5.64,170122.62,41511.24
5.65,170747.72,41694.71
5.66,171372.34,41873.32
5.67,171995.7,42058.8
5.68,172620.34,42244.73
5.69,173241.41,42428.02
5.7,173875.23,42615.16
5.71,174520.08,42801.79
5.72,175167.52,42987.44
5.73,175811.47,43172.71
5.74,176453.69,43360.11
5.75,177096.84,43545.82
5.76,177737.03,43735.53
5.77,178411.56,43926.24
5.78,179076.75,44111.45
5.79,179736.72,44302.79
5.8,180393.39,44491.17
5.81,181048.95,44678.61
5.82,181713.27,44875.64
5.83,182372.62,45070.08
5.84,183036.94,45262.26
5.85,183695.91,45452.47
5.86,184356.55,45642.43
5.87,185007.78,45834.01
5.88,185660.23,46028.62
5.89,186305.95,46224.79
5.9,186951.28,46414.91
5.91,187590.84,46613.1
5.92,188229.58,46807.7
5.93,188865.56,47000.8
5.94,189501.81,47195.23
5.95,190135.22,47392.7
5.96,190772.5,47590.85
5.97,191414.91,47787.84
5.98,192056.62,47984.35
5.99,192699.98,48183.11
6,193342.59,48380.86
6.01,193983.88,48575.71
6.02,194624.58,48773.58
6.03,195265.19,48974.82
6.04,195906.53,49177.86
6.05,196564.62,49377.11
6.06,197224.27,49577.31
6.07,197883.67,49779.06
6.08,198542,49979.24
6.09,199199.53,50182
6.1,199871.25,50392.81
6.11,200560.42,50597.58
6.12,201238.3,50800.51
6.13,201910.12,51004.32
6.14,202593.78,51206.55
6.15,203280.3,51409.38
6.16,203960.33,51613.96
6.17,204635.03,51824.31
6.18,205303,52030.35
6.19,205966.95,52236.43
6.2,206628.61,52442.11
6.21,207286.11,52647.69
6.22,207939.45,52857.27
6.23,208592.92,53064.95
6.24,209242.67,53272.34
6.25,209889.58,53482.61
6.26,210533.95,53691.93
6.27,211182.22,53902.39
6.28,211827.81,54111.71
6.29,212475.81,54323.47
6.3,213125.73,54534.2
6.31,213769.67,54742.41
6.32,214415.72,54956.71
6.33,215059.44,55171.17
6.34,215704.72,55382.84
6.35,216346.27,55597.12
6.36,216989.11,55810.81
6.37,217640.52,56022.33
6.38,218292.66,56234.43
6.39,218944.86,56460.16
6.4,219598.02,56678.7
6.41,220253.33,56893.21
6.42,220907.17,57112.83
6.43,221563.36,57328.37
6.44,222237.78,57543.61
6.45,222913.31,57758.53
6.46,223584.66,57980.48
6.47,224277.09,58200.58
6.48,224980.59,58421.24
6.49,225681.38,58640.58
6.5,226383.36,58858.82
6.51,227075.28,59077.57
6.52,227758.53,59299.3
6.53,228433.89,59520.6
6.54,229108,59739.47
6.55,229779.33,59964.14
6.56,230442.33,60186.26
6.57,231108.42,60411.18
6.58,231765.86,60631.93
6.59,232427.09,60858.32
6.6,233085.25,61079.13
6.61,233739.62,61302.57
6.62,234393.81,61528.14
6.63,235046.41,61754.61
6.64,235698.67,61982.26
6.65,236347.39,62210.55
6.66,236997.92,62435.45
6.67,237646.56,62661
6.68,238292.75,62889.19
6.69,238941.38,63114.28
6.7,239588.42,63354.53
6.71,240236.48,63584.14
6.72,240883.52,63815.87
6.73,241530.11,64044.94
6.74,242178.58,64274.02
6.75,242822.8,64504.39
6.76,243470.81,64731.68
6.77,244116.2,64965.79
6.78,244764.28,65200.24
6.79,245415.34,65435.67
6.8,246068.02,65667.72
6.81,246716.45,65901.71
6.82,247368.14,66132.88
6.83,248018.69,66367.77
6.84,248675.78,66600.92
6.85,249335.86,66836.69
6.86,249997.55,67071.08
6.87,250670.19,67308.59
6.88,251357.27,67545.14
6.89,252093.44,67782.98
6.9,252802.36,68020.45
6.91,253500.3,68259.18
6.92,254187.84,68497.75
6.93,254869.14,68732
