tempo,q
6.3,0.01011634
6.31,0.01009412
6.32,0.01007196
6.33,0.01004988
6.34,0.0100279
6.35,0.0100059
6.36,0.00998382
6.37,0.00996184
6.38,0.00994
6.39,0.00991834
6.4,0.00989682
6.41,0.00987542
6.42,0.00985414
6.43,0.00983296
6.44,0.00981188
6.45,0.00979086
6.46,0.00976996
6.47,0.00974912
6.48,0.00972836
6.49,0.00970768
6.5,0.00968706
6.51,0.0096665
6.52,0.00964598
6.53,0.00962554
6.54,0.00960514
6.55,0.00958474
6.56,0.0095643
6.57,0.00954384
6.58,0.00952344
6.59,0.00950312
6.6,0.0094829
6.61,0.00946278
6.62,0.00944278
6.63,0.00942288
6.64,0.00940308
6.65,0.00938338
6.66,0.00936378
6.67,0.00934428
6.68,0.00932486
6.69,0.0093055
6.7,0.0092862
6.71,0.00926692
6.72,0.0092477
6.73,0.00922854
6.74,0.00920848
6.75,0.0091892
6.76,0.00917024
6.77,0.00915144
6.78,0.00913276
6.79,0.00911416
6.8,0.00909564
6.81,0.00907714
6.82,0.0090587
6.83,0.0090403
6.84,0.00902196
6.85,0.00900368
6.86,0.00898548
6.87,0.0089673
6.88,0.0089492
6.89,0.00893112
6.9,0.00891308
6.91,0.0088951
6.92,0.00887714
6.93,0.00885924
6.94,0.00884136
6.95,0.00882352
6.96,0.00880572
6.97,0.00878794
6.98,0.00877022
6.99,0.00875256
7,0.00873496
7.01,0.00871744
7.02,0.00869996
7.03,0.00868214
7.04,0.00866428
7.05,0.00864674
7.06,0.00862944
7.07,0.0086123
7.08,0.00859528
7.09,0.00857834
7.1,0.00856148
7.11,0.00854472
7.12,0.00852802
7.13,0.0085114
7.14,0.00849486
7.15,0.00847836
7.16,0.00846194
7.17,0.00844556
7.18,0.00842894
7.19,0.0084123
7.2,0.00839578
7.21,0.00837942
7.22,0.00836318
7.23,0.00834704
7.24,0.00833098
7.25,0.008315
7.26,0.00829906
7.27,0.0082831
7.28,0.00826704
7.29,0.00825098
7.3,0.008235
7.31,0.00821912
7.32,0.00820332
7.33,0.00818758
7.34,0.00817182
7.35,0.00815604
7.36,0.0081403
7.37,0.00812462
7.38,0.00810896
7.39,0.00809332
7.4,0.00807772
7.41,0.00806212
7.42,0.00804652
7.43,0.0080309
7.44,0.0080153
7.45,0.00799974
7.46,0.00798424
7.47,0.00796882
7.48,0.00795346
7.49,0.00793822
7.5,0.00792306
7.51,0.00790798
7.52,0.00789302
7.53,0.00787814
7.54,0.00786336
7.55,0.00784866
7.56,0.00783404
7.57,0.0078195
7.58,0.00780504
7.59,0.00779066
7.6,0.00777634
7.61,0.0077621
7.62,0.0077479
7.63,0.00773378
7.64,0.00771972
7.65,0.0077057
7.66,0.00769174
7.67,0.00767784
7.68,0.00766398
7.69,0.00765016
